customer_id,zip_code,week,channel_email,channel_webinar,channel_direct_mail,tv_national_grp,tv_local_grp,tv_streaming_impressions,social_paid_impressions,social_organic_score,sales_rep_touches,revenue,units_sold,prior_spend,tenure_years,company_size,industry,engagement_score,region
1,02102,1,0,0.0,1,111.8,42.1,8.1,1153.0,34.1,12.1,98.54,28.15,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,2,0,0.7,1,91.1,69.7,12.3,846.0,41.4,10.4,90.65,20.15,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,3,0,0.3,1,119.6,55.3,9.2,1097.0,35.7,12.1,94.64,18.44,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,4,0,3.9,1,105.6,82.3,13.9,960.0,34.0,13.1,100.35,20.44,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,5,0,1.0,1,86.0,78.1,7.0,957.0,36.8,13.4,85.2,14.7,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,6,0,0.0,1,82.7,51.1,6.1,982.0,30.4,10.9,81.56,18.47,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,7,0,6.8,1,67.1,79.9,8.7,952.0,34.1,12.4,99.03,19.16,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,8,0,1.8,1,105.8,39.5,9.1,1074.0,34.9,14.7,84.55,20.8,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,9,0,1.6,1,92.9,68.5,8.5,1008.0,40.5,14.0,91.31,23.4,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,10,0,0.6,1,52.6,81.5,7.2,1107.0,47.4,11.8,72.35,17.04,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,11,0,6.3,1,89.3,78.3,9.2,1099.0,38.7,13.8,104.76,27.14,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,12,0,2.6,1,82.0,83.6,8.1,938.0,44.8,12.3,100.0,22.37,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,13,0,0.7,1,131.5,70.2,11.6,1053.0,27.7,11.6,106.74,22.17,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,14,0,0.0,1,65.9,98.4,10.1,991.0,34.4,13.6,87.53,23.95,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,15,0,3.2,1,71.2,73.7,9.0,980.0,41.5,10.7,80.5,21.5,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,16,0,3.5,1,122.2,77.2,9.5,966.0,40.2,11.9,90.81,19.96,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,17,0,12.7,1,127.1,44.0,9.7,830.0,35.8,11.3,84.35,21.29,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,18,0,1.0,1,85.1,38.5,10.4,1141.0,43.8,12.5,93.31,25.18,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,19,0,9.4,1,87.4,87.0,6.8,1018.0,38.5,9.2,101.59,29.01,595.54,12.98,Large,Finance,43.84,Northeast
1,02102,20,0,3.5,1,112.3,92.1,9.1,990.0,38.2,10.7,86.56,24.19,595.54,12.98,Large,Finance,43.84,Northeast
2,19104,1,0,7.1,0,111.8,55.1,9.2,467.0,39.4,7.2,88.54,20.87,551.12,2.93,Small,Manufacturing,46.19,Northeast
2,19104,2,0,7.4,0,91.1,74.6,8.6,392.0,48.5,7.2,86.59,15.57,551.12,2.93,Small,Manufacturing,46.19,Northeast
2,19104,3,0,0.4,0,119.6,88.6,7.9,284.0,42.9,5.7,85.86,20.04,551.12,2.93,Small,Manufacturing,46.19,Northeast
