customer_id,zip_code,week,revenue,units_sold,prior_spend,tenure_years,company_size,industry,engagement_score,region,tv_30s_brand,tv_45s_product,tv_60s_testimonial,tv_15s_reminder,email_personalized,email_generic,email_promo,social_retargeting,social_brand_awareness,social_ugc,dm_catalog,dm_postcard,dm_letter,rep_product_demo,rep_followup_call
1,37207,1,53.36,16.65,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,2,45.41,16.52,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,3,68.69,17.44,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,4,72.78,21.29,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,5,55.43,16.78,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,6,59.43,16.16,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,7,72.75,20.61,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,8,57.84,17.61,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,9,57.54,15.45,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,10,75.9,26.75,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,11,83.52,20.85,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,12,70.76,21.55,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,13,70.1,14.13,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,14,83.84,16.5,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,15,78.95,21.75,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,16,84.16,22.69,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,17,64.58,21.01,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,18,66.38,15.03,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,19,54.63,16.18,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,37207,20,55.78,21.0,498.88,11.17,Small,Manufacturing,36.07,South,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
2,28203,1,70.4,17.31,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,2,80.27,20.15,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,3,76.03,22.53,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,4,84.28,20.06,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,5,77.77,20.98,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,6,94.15,29.38,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,7,75.44,18.64,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,8,67.71,20.17,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,9,72.05,19.47,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,10,92.85,19.91,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,11,88.71,24.6,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
2,28203,12,101.86,18.83,622.77,0.7,Large,Technology,75.15,South,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
